,2018 Trahan,2018 Trahan %,2018 Green,2018 Green %,2018 Mullen,2018 Mullen %,2018 Other,2020 (p) Trahan,2020 (p) Others,2020 Trahan,2020 Trahan %,2020 Others,2020 Others %,Town,Cong_diff_Dem
2,8015,0.7166487839771102,2378,0.21262517882689558,542,0.0484620886981402,249,5965,872,11409,0.813882151519475,2609,0.18611784848052504,Acton,0.09723336754236478
3,7823,0.611171875,4321,0.337578125,356,0.0278125,300,5067,1030,12238,0.715463314820228,4867,0.284536685179772,Andover,0.10429143982022793
4,1364,0.47876447876447875,1296,0.4548964548964549,119,0.04176904176904177,70,966,192,2680,0.6984623403700808,1157,0.3015376596299192,Ashburnham,0.21969786160560206
5,689,0.4298190892077355,823,0.5134123518402994,58,0.03618215845290081,33,495,66,1323,0.6510826771653543,709,0.34891732283464566,Ashby,0.2212635879576188
6,1999,0.585873388042204,1168,0.34232121922626024,177,0.051875732708089095,68,1481,199,3480,0.7479045776918117,1173,0.25209542230818827,Ayer,0.16203118964960772
7,982,0.5579545454545455,641,0.36420454545454545,99,0.05625,38,719,122,1638,0.72,637,0.28,Berlin,0.1620454545454545
8,1775,0.6012872628726287,991,0.33570460704607047,134,0.04539295392953929,52,1254,181,2789,0.7314450563860477,1024,0.26855494361395227,Bolton,0.13015779351341905
9,1819,0.6612141039621956,749,0.272264631043257,112,0.04071246819338423,71,1396,173,2669,0.7758720930232558,771,0.22412790697674417,Boxborough,0.11465798906106017
10,2082,0.696554031448645,769,0.257276681164269,80,0.026764804282368684,58,1487,228,2842,0.7743869209809264,828,0.22561307901907357,Carlisle,0.0778328895322814
11,10738,0.629610085019056,5483,0.3214892993257109,479,0.02808560539431252,355,7161,1242,16274,0.723739215511874,6212,0.27626078448812597,Chelmsford,0.09412913049281801
12,3189,0.5693626138189609,1945,0.3472594179610784,352,0.06284592037136226,115,2368,405,5935,0.7550890585241731,1925,0.24491094147582698,Clinton,0.18572644470521216
13,7653,0.750956726523403,1967,0.19301344323422628,376,0.036895299774310664,195,5679,948,9898,0.7988055846985715,2493,0.20119441530142845,Concord,0.047848858175168596
14,7019,0.5286984031334739,5496,0.413980114492317,449,0.03382042783971076,312,4377,772,12508,0.6938481167138182,5519,0.3061518832861818,Dracut,0.16514971358034425
15,959,0.5521013241220495,710,0.40875071963154863,37,0.021301093839953943,31,614,91,1505,0.6831593281888334,698,0.3168406718111666,Dunstable,0.13105800406678392
16,6500,0.5564592072596525,4305,0.36854721342350827,530,0.04537282766886397,346,4315,681,12596,0.7581557722402793,4018,0.24184422775972073,Fitchburg,0.20169656498062682
17,3626,0.5197821100917431,2765,0.39635894495412843,386,0.05533256880733945,199,2416,368,7051,0.7408847325837974,2466,0.2591152674162026,Gardner,0.22110262249205426
18,3582,0.6136714065444577,1971,0.33767346239506596,173,0.029638512934726743,111,2386,335,5527,0.7513594344752583,1829,0.2486405655247417,Groton,0.1376880279308006
19,2263,0.6711150652431791,914,0.27105575326215897,121,0.03588374851720048,74,1647,246,3171,0.7628097185470291,986,0.23719028145297089,Harvard,0.09169465330384996
20,13242,0.5679361811631498,8437,0.3618545205009436,987,0.042331446217189914,650,8300,1667,22983,0.7056060419992631,9589,0.2943939580007368,Haverhill,0.13766986083611332
21,5187,0.5800715723551778,2954,0.3303511518675911,590,0.06598076492954597,211,3824,543,8724,0.7486484167167253,2929,0.25135158328327467,Hudson,0.16857684436154752
22,1715,0.5067966903073287,1396,0.41252955082742315,171,0.05053191489361702,102,1268,235,3004,0.6852189781021898,1380,0.3147810218978102,Lancaster,0.17842228779486113
23,11398,0.7330374943726284,2742,0.17634574570711942,695,0.044697408193452956,714,6275,1771,18997,0.8129841229083751,4370,0.18701587709162495,Lawrence,0.07994662853574663
24,3361,0.6375189681335357,1619,0.3070940819423369,203,0.038505311077389984,89,2241,337,5074,0.7548348705742338,1648,0.24516512942576615,Littleton,0.11731590244069812
25,18405,0.6810612788632326,6616,0.2448194197750148,1033,0.038225281231497925,970,11224,2139,29447,0.7553999281719768,9535,0.24460007182802318,Lowell,0.07433864930874412
