,Town,Baker 2018,Baker 2018 %,Gonzalez 2018,Gonzalez 2018 %,Coakley 2014,Coakley 2014 %,Baker 2014,Baker 2014 %,Gov_diff_Dem,Gov_diff_Rep
0,Acton,"6,774",62.1,"4,141",37.9,"4,534",51.0,"3,776",43.0,-13.100000000000001,19.1
1,Andover,"11,833",74.2,"4,123",25.8,"4,869",36.0,"7,862",59.0,-10.2,15.200000000000003
2,Andover,"11,833",74.2,"4,123",25.8,"4,869",36.0,"7,862",59.0,-10.2,15.200000000000003
3,Ashburnham,"2,070",76.1,651,23.9,831,37.0,"1,205",54.0,-13.100000000000001,22.099999999999994
4,Ashby,"1,247",80.2,308,19.8,443,33.0,754,57.0,-13.2,23.200000000000003
5,Ashland,"5,402",71.1,"2,192",28.9,"2,523",43.0,"2,954",51.0,-14.100000000000001,20.099999999999994
6,Ayer,"2,396",72.1,927,27.9,970,38.0,"1,333",53.0,-10.100000000000001,19.099999999999994
7,Bedford,"4,575",68.1,"2,141",31.9,"2,633",46.0,"2,764",48.0,-14.100000000000001,20.099999999999994
8,Berlin,"1,259",73.4,457,26.6,548,38.0,758,53.0,-11.399999999999999,20.400000000000006
9,Billerica,"13,243",76.9,"3,986",23.1,"5,121",35.0,"8,248",57.0,-11.899999999999999,19.900000000000006
10,Bolton,"2,058",72.1,796,27.9,877,38.0,"1,278",55.0,-10.100000000000001,17.099999999999994
11,Boxborough,"1,755",65.7,917,34.3,944,44.0,"1,045",49.0,-9.700000000000003,16.700000000000003
12,Boxford,"3,434",79.8,869,20.2,"1,031",27.0,"2,542",68.0,-6.800000000000001,11.799999999999997
13,Boylston,"1,921",79.5,496,20.5,710,34.0,"1,277",61.0,-13.5,18.5
14,Burlington,"8,202",74.6,"2,796",25.4,"3,659",39.0,"5,205",55.0,-13.600000000000001,19.599999999999994
15,Carlisle,"1,869",64.0,"1,050",36.0,"1,194",46.0,"1,231",48.0,-10.0,16.0
16,Chelmsford,"12,258",76.5,"3,759",23.5,"5,140",36.0,"8,198",57.0,-12.5,19.5
17,Clinton,"4,030",74.1,"1,412",25.9,"1,935",43.0,"2,241",50.0,-17.1,24.099999999999994
