,Town,Clinton 2016,Clinton 2016 %,Trump 2016,Trump 2016%,Johnson,Johnson 2016 %,Stein,Stein 2016 %,Biden 2020,Biden 2020 %,Trump 2020,Trump 2020 %,pres_diff_Dem,pres_diff_Rep
0,Acton,"9,096",73.5,"2,536",20.5,543,4.40%,207,1.70%,"10,793",80.3,"2,399",17.8,6.799999999999997,-2.6999999999999993
1,Andover,"11,019",59.3,"6,478",34.9,885,4.80%,195,1.00%,"13,430",66.6,"6,395",31.7,7.299999999999997,-3.1999999999999993
2,Andover,"11,019",59.3,"6,478",34.9,885,4.80%,195,1.00%,"13,430",66.6,"6,395",31.7,7.299999999999997,-3.1999999999999993
3,Ashburnham,"1,439",44.0,"1,522",46.5,247,7.50%,66,2%,"1,982",53.2,"1,643",44.1,9.200000000000003,-2.3999999999999986
4,Ashby,720,39.0,974,52.2,128,6.90%,44,2.40%,956,47.3,"1,009",50.0,8.299999999999997,-2.200000000000003
5,Ashland,"5,638",63.0,"2,751",31.0,456,5.10%,104,1.20%,"7,254",69.9,"2,926",28.2,6.900000000000006,-2.8000000000000007
6,Ayer,"2,162",53.8,"1,498",37.3,292,7%,65,1.60%,"2,924",63.6,"1,534",33.4,9.800000000000004,-3.8999999999999986
7,Bedford,"5,085",65.3,"2,211",28.4,404,5.20%,92,1.20%,"6,065",72.1,"2,183",25.9,6.799999999999997,-2.5
8,Berlin,"1,009",52.7,745,38.9,124,6.50%,38,2%,"1,366",60.8,815,36.3,8.099999999999994,-2.6000000000000014
9,Billerica,"10,016",46.5,"10,282",48.0,972,4.50%,257,1.20%,"12,917",54.1,"10,532",44.1,7.600000000000001,-3.8999999999999986
10,Bolton,"1,891",58.9,"1,036",32.3,230,7.20%,54,1.70%,"2,484",67.1,"1,125",30.4,8.199999999999996,-1.8999999999999986
11,Boxborough,"1,987",67.7,755,25.7,159,5.40%,36,1.20%,"2,516",74.3,784,23.2,6.599999999999994,-2.5
12,Boxford,"2,454",49.3,"2,194",44.1,297,6.00%,35,0.70%,"3,056",56.5,"2,235",41.4,7.200000000000003,-2.700000000000003
13,Boylston,"1,422",51.6,"1,124",41.0,176,6.40%,35,1.30%,"1,876",57.3,"1,314",40.1,5.699999999999996,-0.8999999999999986
14,Burlington,"7,551",55.4,"5,413",39.7,553,4.10%,122,1%,"9,314",61.7,"5,510",36.5,6.300000000000004,-3.200000000000003
15,Carlisle,"2,302",70.0,732,22.4,192,5.90%,43,1.30%,"2,746",76.7,759,21.2,6.700000000000003,-1.1999999999999993
16,Chelmsford,"10,529",54.2,"7,596",39.1,"1,084",5.60%,232,1.20%,"13,635",62.5,"7,680",35.2,8.299999999999997,-3.8999999999999986
17,Clinton,"3,707",53.7,"2,715",39.3,388,5.60%,99,1.40%,"4,661",60.1,"2,876",37.1,6.399999999999999,-2.1999999999999957
18,Concord,"8,246",76.1,"1,948",18.0,496,4.60%,146,1.30%,"10,002",82.1,"1,972",16.2,6.0,-1.8000000000000007
19,Dracut,"6,626",41.5,"8,319",52.1,821,5.10%,187,1.20%,"8,582",48.8,"8,692",49.4,7.299999999999997,-2.700000000000003
20,Dunstable,954,48.7,837,42.8,140,7.20%,26,1.30%,"1,224",57.1,868,40.5,8.399999999999999,-2.299999999999997
21,Fitchburg,"8,491",56.2,"5,545",36.7,805,5.30%,257,1.70%,"8,837",58.9,"5,820",38.8,2.6999999999999957,2.0999999999999943
22,Framingham,"20,277",70.0,"7,031",24.4,"1,189",4.10%,341,1.20%,"23,613",74.1,"7,705",24.2,4.099999999999994,-0.1999999999999993
23,Gardner,"4,163",49.0,"3,528",41.8,587,7%,155,1.80%,"5,075",55.1,"3,881",42.1,6.100000000000001,0.30000000000000426
24,Georgetown,"2,314",46.7,"2,260",45.6,328,6.60%,49,1.00%,"3,002",55.0,"2,357",43.1,8.299999999999997,-2.5
25,Groton,"3,863",59.5,"2,133",32.9,399,6.10%,95,1.50%,"4,819",68.1,"2,108",29.8,8.599999999999994,-3.099999999999998
