,Town,Warren 2018,Warren 2018%,Diehl 2018,Diehl 2018 %,Ayyudarai 2018,Ayyudarai 2018 %,Markey 2020,Markey 2020%,O'Connor 2020,O'Connor 2020 %,Sen_diff_Dem,Sen_diff_Rep
0,Acton,"7,983",72.5,"2,611",23.7,424,3.80%,"10,422",78.5,"2,860",21.5,6.0,-2.1999999999999993
1,Andover,"9,163",56.6,"6,249",38.6,769,4.80%,"12,840",64.5,"7,075",35.5,7.899999999999999,-3.1000000000000014
2,Andover,"9,163",56.6,"6,249",38.6,769,4.80%,"12,840",64.5,"7,075",35.5,7.899999999999999,-3.1000000000000014
3,Ashburnham,"1,289",46.6,"1,353",48.9,124,4.50%,"1,992",55.8,"1,580",44.2,9.199999999999996,-4.699999999999996
4,Ashby,674,43.0,846,53.8,53,3.40%,966,50.2,959,49.8,7.200000000000003,-4.0
5,Ashland,"4,754",62.2,"2,609",34.1,279,3.70%,"7,011",68.8,"3,186",31.2,6.599999999999994,-2.900000000000002
6,Ayer,"1,860",55.3,"1,364",40.5,142,4.20%,"2,936",65.1,"1,572",34.9,9.799999999999997,-5.600000000000001
7,Bedford,"4,407",65.0,"2,214",32.4,208,3.00%,"5,907",70.9,"2,419",29.1,5.900000000000006,-3.299999999999997
8,Berlin,944,54.5,717,41.4,71,4.10%,"1,342",61.0,857,39.0,6.5,-2.3999999999999986
9,Billerica,"8,139",46.1,"8,760",49.6,749,4.20%,"13,195",56.5,"10,177",43.5,10.399999999999999,-6.100000000000001
10,Bolton,"1,727",59.0,"1,094",37.4,106,3.60%,"2,358",64.7,"1,287",35.3,5.700000000000003,-2.1000000000000014
11,Boxborough,"1,789",66.3,816,30.2,93,3.40%,"2,439",73.1,897,26.9,6.799999999999997,-3.3000000000000007
12,Boxford,"2,054",46.6,"2,136",48.5,215,4.90%,"2,874",53.7,"2,482",46.3,7.100000000000001,-2.200000000000003
13,Boylston,"1,200",48.9,"1,165",47.5,87,3.50%,"1,832",56.5,"1,410",43.5,7.600000000000001,-4.0
14,Burlington,"5,978",53.2,"4,835",43.0,429,3.80%,"9,283",62.8,"5,499",37.2,9.599999999999994,-5.799999999999997
15,Carlisle,"2,006",68.0,843,29.0,82,2.80%,"2,631",74.0,924,26.0,6.0,-3.0
16,Chelmsford,"8,717",53.7,"6,897",42.5,630,3.90%,"13,434",63.0,"7,886",37.0,9.299999999999997,-5.5
17,Clinton,"2,911",52.8,"2,345",42.5,261,4.70%,"4,691",62.0,"2,877",38.0,9.200000000000003,-4.5
18,Concord,"7,361",74.1,"2,282",23.0,296,3%,"9,501",78.6,"2,590",21.4,4.5,-1.6000000000000014
19,Dracut,"5,356",41.5,"6,873",53.3,674,5.20%,"8,923",51.9,"8,281",48.1,10.399999999999999,-5.199999999999996
20,Dunstable,846,49.6,807,47.4,51,3%,"1,181",56.3,917,43.7,6.699999999999996,-3.6999999999999957
21,Fitchburg,"6,289",55.1,"4,666",40.9,458,4%,"8,985",61.5,"5,615",38.5,6.399999999999999,-2.3999999999999986
22,Framingham,"16,399",69.0,"6,745",28.0,684,2.90%,"23,557",75.1,"7,828",24.9,6.099999999999994,-3.1000000000000014
23,Gardner,"3,401",50.0,"2,992",44.0,401,5.90%,"5,187",58.2,"3,722",41.8,8.200000000000003,-2.200000000000003
24,Georgetown,"1,905",45.9,"2,050",49.4,195,4.70%,"2,968",55.0,"2,425",45.0,9.100000000000001,-4.399999999999999
25,Groton,"3,347",58.4,"2,170",37.9,210,3.70%,"4,582",65.8,"2,379",34.2,7.399999999999999,-3.6999999999999957
26,Groveland,"1,541",45.0,"1,760",51.0,146,4.20%,"2,403",54.2,"2,030",45.8,9.200000000000003,-5.200000000000003
27,Harvard,"2,230",67.1,995,29.9,99,3%,"2,909",73.3,"1,061",26.7,6.200000000000003,-3.1999999999999993
28,Haverhill,"12,161",53.4,"9,684",42.5,941,4.10%,"18,227",61.4,"11,462",38.6,8.0,-3.8999999999999986
